Flow_ID,device,eth_Type,timeout,bord,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,tot_pkts,tot_bytes,timestamp
45880422206638158,of:00006a0c44499c45,0x800,10,1,False,10,3,1,08:00:27:7E:16:51,08:00:27:D0:96:2F,192.168.1.36/32,192.168.1.25/32,6,58514,443,7,9,1915,14:10:27.619
45880421665553840,of:00004e7de7353a40,0x800,10,1,False,10,1,2,08:00:27:D0:96:2F,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,443,52014,26,56,59718,14:10:27.320
45880423854266046,of:00004e7de7353a40,0x800,10,1,False,10,2,1,08:00:27:02:34:4F,08:00:27:D0:96:2F,192.168.1.26/32,192.168.1.25/32,6,52014,443,26,38,9868,14:10:27.320
45880422746998724,of:00004e7de7353a40,0x800,10,1,False,10,3,1,08:00:27:7E:16:51,08:00:27:D0:96:2F,192.168.1.36/32,192.168.1.25/32,6,58514,443,6,9,1915,14:10:27.320
45880421412717910,of:00004e7de7353a40,0x800,10,1,False,10,1,3,08:00:27:D0:96:2F,08:00:27:7E:16:51,192.168.1.25/32,192.168.1.36/32,6,443,58514,6,13,9433,14:10:27.320
45880422694604690,of:00006a0c44499c45,0x800,10,0,False,10,1,3,08:00:27:D0:96:2F,08:00:27:7E:16:51,192.168.1.25/32,192.168.1.36/32,6,443,58514,9,12,9367,14:10:29.619
45880422206638158,of:00006a0c44499c45,0x800,10,0,False,10,3,1,08:00:27:7E:16:51,08:00:27:D0:96:2F,192.168.1.36/32,192.168.1.25/32,6,58514,443,9,9,1915,14:10:29.619
45880421238028442,of:00004e7de7353a40,0x800,10,0,False,10,1,2,08:00:27:D0:96:2F,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,443,52018,0,0,0,14:10:29.535
45880423107504554,of:00004e7de7353a40,0x800,10,0,False,10,2,1,08:00:27:02:34:4F,08:00:27:D0:96:2F,192.168.1.26/32,192.168.1.25/32,6,52018,443,0,0,0,14:10:29.528
45880422746998724,of:00004e7de7353a40,0x800,10,0,False,10,3,1,08:00:27:7E:16:51,08:00:27:D0:96:2F,192.168.1.36/32,192.168.1.25/32,6,58514,443,8,9,1915,14:10:29.322
45880421412717910,of:00004e7de7353a40,0x800,10,0,False,10,1,3,08:00:27:D0:96:2F,08:00:27:7E:16:51,192.168.1.25/32,192.168.1.36/32,6,443,58514,8,13,9433,14:10:29.322
45880422694604690,of:00006a0c44499c45,0x800,10,1,False,10,1,3,08:00:27:D0:96:2F,08:00:27:7E:16:51,192.168.1.25/32,192.168.1.36/32,6,443,58514,11,12,9367,14:10:31.620
